task_id,category,difficulty_level,solved_by_n_of_4_reference_models,base_scene,azimuth,elevation,distance_pct,cam_rot,cam_vert,initstate,noise_type,noise_severity,light,table,language,added_objects,layout_level,instruction_clean,task_language_raw,variant_name
0,Background Textures,3,2,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,1,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet table 1,open_the_middle_drawer_of_the_cabinet_table_1
1,Background Textures,1,4,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,10,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet table 10,open_the_middle_drawer_of_the_cabinet_table_10
2,Background Textures,3,2,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,12,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet table 12,open_the_middle_drawer_of_the_cabinet_table_12
3,Background Textures,2,3,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,13,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet table 13,open_the_middle_drawer_of_the_cabinet_table_13
4,Background Textures,4,1,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,15,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet table 15,open_the_middle_drawer_of_the_cabinet_table_15
5,Background Textures,4,1,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,16,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet table 16,open_the_middle_drawer_of_the_cabinet_table_16
6,Background Textures,3,2,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,17,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet table 17,open_the_middle_drawer_of_the_cabinet_table_17
7,Background Textures,2,3,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,18,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet table 18,open_the_middle_drawer_of_the_cabinet_table_18
8,Background Textures,2,3,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,19,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet table 19,open_the_middle_drawer_of_the_cabinet_table_19
9,Background Textures,4,1,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,2,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet table 2,open_the_middle_drawer_of_the_cabinet_table_2
10,Background Textures,3,2,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,21,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet table 21,open_the_middle_drawer_of_the_cabinet_table_21
11,Background Textures,4,1,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,22,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet table 22,open_the_middle_drawer_of_the_cabinet_table_22
12,Background Textures,3,2,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,24,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet table 24,open_the_middle_drawer_of_the_cabinet_table_24
13,Background Textures,3,2,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,27,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet table 27,open_the_middle_drawer_of_the_cabinet_table_27
14,Background Textures,2,3,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,28,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet table 28,open_the_middle_drawer_of_the_cabinet_table_28
15,Background Textures,2,3,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,4,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet table 4,open_the_middle_drawer_of_the_cabinet_table_4
16,Background Textures,2,3,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,5,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet table 5,open_the_middle_drawer_of_the_cabinet_table_5
17,Background Textures,2,3,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,8,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet table 8,open_the_middle_drawer_of_the_cabinet_table_8
18,Background Textures,3,2,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,10,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet tb 10,open_the_middle_drawer_of_the_cabinet_tb_10
19,Background Textures,2,3,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,12,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet tb 12,open_the_middle_drawer_of_the_cabinet_tb_12
20,Background Textures,5,0,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,18,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet tb 18,open_the_middle_drawer_of_the_cabinet_tb_18
21,Background Textures,1,4,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,2,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet tb 2,open_the_middle_drawer_of_the_cabinet_tb_2
22,Background Textures,3,2,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,20,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet tb 20,open_the_middle_drawer_of_the_cabinet_tb_20
23,Background Textures,3,2,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,21,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet tb 21,open_the_middle_drawer_of_the_cabinet_tb_21
24,Background Textures,3,2,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,22,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet tb 22,open_the_middle_drawer_of_the_cabinet_tb_22
25,Background Textures,3,2,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,5,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet tb 5,open_the_middle_drawer_of_the_cabinet_tb_5
26,Background Textures,3,2,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,6,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet tb 6,open_the_middle_drawer_of_the_cabinet_tb_6
27,Background Textures,3,2,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,7,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet tb 7,open_the_middle_drawer_of_the_cabinet_tb_7
28,Background Textures,4,1,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,8,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet tb 8,open_the_middle_drawer_of_the_cabinet_tb_8
29,Background Textures,4,1,open_the_middle_drawer_of_the_cabinet,,,,,,,,,,9,,,,open the middle drawer of the cabinet,open the middle drawer of the cabinet tb 9,open_the_middle_drawer_of_the_cabinet_tb_9
30,Background Textures,4,1,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,1,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 1,open_the_top_drawer_and_put_the_bowl_inside_table_1
31,Background Textures,5,0,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,11,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 11,open_the_top_drawer_and_put_the_bowl_inside_table_11
32,Background Textures,5,0,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,12,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 12,open_the_top_drawer_and_put_the_bowl_inside_table_12
33,Background Textures,1,4,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,13,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 13,open_the_top_drawer_and_put_the_bowl_inside_table_13
34,Background Textures,2,3,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,14,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 14,open_the_top_drawer_and_put_the_bowl_inside_table_14
35,Background Textures,3,2,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,15,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 15,open_the_top_drawer_and_put_the_bowl_inside_table_15
36,Background Textures,2,3,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,16,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 16,open_the_top_drawer_and_put_the_bowl_inside_table_16
37,Background Textures,5,0,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,17,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 17,open_the_top_drawer_and_put_the_bowl_inside_table_17
38,Background Textures,2,3,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,18,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 18,open_the_top_drawer_and_put_the_bowl_inside_table_18
39,Background Textures,2,3,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,19,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 19,open_the_top_drawer_and_put_the_bowl_inside_table_19
40,Background Textures,4,1,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,2,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 2,open_the_top_drawer_and_put_the_bowl_inside_table_2
41,Background Textures,2,3,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,20,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 20,open_the_top_drawer_and_put_the_bowl_inside_table_20
42,Background Textures,3,2,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,21,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 21,open_the_top_drawer_and_put_the_bowl_inside_table_21
43,Background Textures,5,0,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,22,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 22,open_the_top_drawer_and_put_the_bowl_inside_table_22
44,Background Textures,2,3,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,23,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 23,open_the_top_drawer_and_put_the_bowl_inside_table_23
45,Background Textures,2,3,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,24,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 24,open_the_top_drawer_and_put_the_bowl_inside_table_24
46,Background Textures,5,0,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,25,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 25,open_the_top_drawer_and_put_the_bowl_inside_table_25
47,Background Textures,2,3,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,27,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 27,open_the_top_drawer_and_put_the_bowl_inside_table_27
48,Background Textures,5,0,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,28,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 28,open_the_top_drawer_and_put_the_bowl_inside_table_28
49,Background Textures,4,1,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,3,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 3,open_the_top_drawer_and_put_the_bowl_inside_table_3
50,Background Textures,3,2,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,4,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 4,open_the_top_drawer_and_put_the_bowl_inside_table_4
51,Background Textures,3,2,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,5,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 5,open_the_top_drawer_and_put_the_bowl_inside_table_5
52,Background Textures,5,0,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,6,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 6,open_the_top_drawer_and_put_the_bowl_inside_table_6
53,Background Textures,3,2,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,7,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 7,open_the_top_drawer_and_put_the_bowl_inside_table_7
54,Background Textures,5,0,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,9,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside table 9,open_the_top_drawer_and_put_the_bowl_inside_table_9
55,Background Textures,5,0,open_the_top_drawer_and_put_the_bowl_inside,,,,,,,,,,1,,,,open the top drawer and put the bowl inside,open the top drawer and put the bowl inside tb 1,open_the_top_drawer_and_put_the_bowl_inside_tb_1
