task_id,category,difficulty_level,solved_by_n_of_4_reference_models,base_scene,azimuth,elevation,distance_pct,cam_rot,cam_vert,initstate,noise_type,noise_severity,light,table,language,added_objects,layout_level,instruction_clean,task_language_raw,variant_name
0,Background Textures,4,1,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,1,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it table 1,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_1
1,Background Textures,3,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,10,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it table 10,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_10
2,Background Textures,3,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,12,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it table 12,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_12
3,Background Textures,4,1,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,13,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it table 13,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_13
4,Background Textures,5,0,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,14,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it table 14,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_14
5,Background Textures,4,1,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,15,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it table 15,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_15
6,Background Textures,3,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,16,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it table 16,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_16
7,Background Textures,4,1,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,17,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it table 17,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_17
8,Background Textures,3,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,18,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it table 18,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_18
9,Background Textures,4,1,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,19,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it table 19,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_19
10,Background Textures,4,1,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,2,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it table 2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_2
11,Background Textures,1,4,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,20,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it table 20,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_20
12,Background Textures,4,1,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,21,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it table 21,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_21
13,Background Textures,3,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,22,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it table 22,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_22
14,Background Textures,4,1,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,24,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it table 24,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_24
15,Background Textures,2,3,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,27,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it table 27,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_27
16,Background Textures,4,1,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,28,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it table 28,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_28
17,Background Textures,4,1,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,4,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it table 4,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_4
18,Background Textures,2,3,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,5,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it table 5,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_5
19,Background Textures,2,3,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,8,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it table 8,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_8
20,Background Textures,3,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,9,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it table 9,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_table_9
21,Background Textures,4,1,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,10,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it tb 10,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_tb_10
22,Background Textures,3,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,12,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it tb 12,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_tb_12
23,Background Textures,4,1,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,18,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it tb 18,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_tb_18
24,Background Textures,5,0,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,2,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it tb 2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_tb_2
25,Background Textures,3,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,20,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it tb 20,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_tb_20
26,Background Textures,4,1,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,21,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it tb 21,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_tb_21
27,Background Textures,3,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,22,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it tb 22,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_tb_22
28,Background Textures,4,1,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,5,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it tb 5,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_tb_5
29,Background Textures,4,1,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,6,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it tb 6,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_tb_6
30,Background Textures,4,1,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,7,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it tb 7,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_tb_7
31,Background Textures,4,1,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,8,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it tb 8,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_tb_8
32,Background Textures,4,1,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,,,,,,,,,,9,,,,KITCHEN SCENE3 turn on the stove and put the moka pot on it,turn on the stove and put the moka pot on it tb 9,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_tb_9
33,Background Textures,5,0,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,,,,,,,,,,1,,,,KITCHEN SCENE4 put the black bowl in the bottom drawer of the cabinet and close it,put the black bowl in the bottom drawer of the cabinet and close it table 1,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_table_1
34,Background Textures,4,1,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,,,,,,,,,,11,,,,KITCHEN SCENE4 put the black bowl in the bottom drawer of the cabinet and close it,put the black bowl in the bottom drawer of the cabinet and close it table 11,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_table_11
35,Background Textures,3,2,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,,,,,,,,,,12,,,,KITCHEN SCENE4 put the black bowl in the bottom drawer of the cabinet and close it,put the black bowl in the bottom drawer of the cabinet and close it table 12,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_table_12
36,Background Textures,5,0,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,,,,,,,,,,13,,,,KITCHEN SCENE4 put the black bowl in the bottom drawer of the cabinet and close it,put the black bowl in the bottom drawer of the cabinet and close it table 13,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_table_13
37,Background Textures,4,1,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,,,,,,,,,,14,,,,KITCHEN SCENE4 put the black bowl in the bottom drawer of the cabinet and close it,put the black bowl in the bottom drawer of the cabinet and close it table 14,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_table_14
38,Background Textures,5,0,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,,,,,,,,,,15,,,,KITCHEN SCENE4 put the black bowl in the bottom drawer of the cabinet and close it,put the black bowl in the bottom drawer of the cabinet and close it table 15,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_table_15
39,Background Textures,4,1,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,,,,,,,,,,16,,,,KITCHEN SCENE4 put the black bowl in the bottom drawer of the cabinet and close it,put the black bowl in the bottom drawer of the cabinet and close it table 16,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_table_16
40,Background Textures,4,1,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,,,,,,,,,,17,,,,KITCHEN SCENE4 put the black bowl in the bottom drawer of the cabinet and close it,put the black bowl in the bottom drawer of the cabinet and close it table 17,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_table_17
41,Background Textures,4,1,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,,,,,,,,,,18,,,,KITCHEN SCENE4 put the black bowl in the bottom drawer of the cabinet and close it,put the black bowl in the bottom drawer of the cabinet and close it table 18,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_table_18
42,Background Textures,3,2,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,,,,,,,,,,19,,,,KITCHEN SCENE4 put the black bowl in the bottom drawer of the cabinet and close it,put the black bowl in the bottom drawer of the cabinet and close it table 19,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_table_19
43,Background Textures,5,0,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,,,,,,,,,,2,,,,KITCHEN SCENE4 put the black bowl in the bottom drawer of the cabinet and close it,put the black bowl in the bottom drawer of the cabinet and close it table 2,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_table_2
44,Background Textures,4,1,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,,,,,,,,,,20,,,,KITCHEN SCENE4 put the black bowl in the bottom drawer of the cabinet and close it,put the black bowl in the bottom drawer of the cabinet and close it table 20,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_table_20
45,Background Textures,5,0,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,,,,,,,,,,22,,,,KITCHEN SCENE4 put the black bowl in the bottom drawer of the cabinet and close it,put the black bowl in the bottom drawer of the cabinet and close it table 22,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_table_22
46,Background Textures,5,0,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,,,,,,,,,,23,,,,KITCHEN SCENE4 put the black bowl in the bottom drawer of the cabinet and close it,put the black bowl in the bottom drawer of the cabinet and close it table 23,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_table_23
47,Background Textures,5,0,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,,,,,,,,,,24,,,,KITCHEN SCENE4 put the black bowl in the bottom drawer of the cabinet and close it,put the black bowl in the bottom drawer of the cabinet and close it table 24,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_table_24
48,Background Textures,4,1,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,,,,,,,,,,25,,,,KITCHEN SCENE4 put the black bowl in the bottom drawer of the cabinet and close it,put the black bowl in the bottom drawer of the cabinet and close it table 25,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_table_25
49,Background Textures,5,0,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,,,,,,,,,,26,,,,KITCHEN SCENE4 put the black bowl in the bottom drawer of the cabinet and close it,put the black bowl in the bottom drawer of the cabinet and close it table 26,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_table_26
50,Background Textures,4,1,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,,,,,,,,,,27,,,,KITCHEN SCENE4 put the black bowl in the bottom drawer of the cabinet and close it,put the black bowl in the bottom drawer of the cabinet and close it table 27,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_table_27
51,Background Textures,3,2,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,,,,,,,,,,28,,,,KITCHEN SCENE4 put the black bowl in the bottom drawer of the cabinet and close it,put the black bowl in the bottom drawer of the cabinet and close it table 28,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_table_28
