task_id,category,difficulty_level,solved_by_n_of_4_reference_models,base_scene,azimuth,elevation,distance_pct,cam_rot,cam_vert,initstate,noise_type,noise_severity,light,table,language,added_objects,layout_level,instruction_clean,task_language_raw,variant_name
0,Background Textures,2,3,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,,,,,,,,,,1,,,,pick up the black bowl between the plate and the ramekin and place it on the plate,pick up the black bowl between the plate and the ramekin and place it on the plate table 1,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_1
1,Background Textures,2,3,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,,,,,,,,,,10,,,,pick up the black bowl between the plate and the ramekin and place it on the plate,pick up the black bowl between the plate and the ramekin and place it on the plate table 10,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_10
2,Background Textures,2,3,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,,,,,,,,,,12,,,,pick up the black bowl between the plate and the ramekin and place it on the plate,pick up the black bowl between the plate and the ramekin and place it on the plate table 12,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_12
3,Background Textures,2,3,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,,,,,,,,,,13,,,,pick up the black bowl between the plate and the ramekin and place it on the plate,pick up the black bowl between the plate and the ramekin and place it on the plate table 13,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_13
4,Background Textures,1,4,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,,,,,,,,,,14,,,,pick up the black bowl between the plate and the ramekin and place it on the plate,pick up the black bowl between the plate and the ramekin and place it on the plate table 14,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_14
5,Background Textures,3,2,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,,,,,,,,,,15,,,,pick up the black bowl between the plate and the ramekin and place it on the plate,pick up the black bowl between the plate and the ramekin and place it on the plate table 15,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_15
6,Background Textures,1,4,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,,,,,,,,,,16,,,,pick up the black bowl between the plate and the ramekin and place it on the plate,pick up the black bowl between the plate and the ramekin and place it on the plate table 16,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_16
7,Background Textures,1,4,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,,,,,,,,,,17,,,,pick up the black bowl between the plate and the ramekin and place it on the plate,pick up the black bowl between the plate and the ramekin and place it on the plate table 17,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_17
8,Background Textures,3,2,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,,,,,,,,,,18,,,,pick up the black bowl between the plate and the ramekin and place it on the plate,pick up the black bowl between the plate and the ramekin and place it on the plate table 18,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_18
9,Background Textures,3,2,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,,,,,,,,,,19,,,,pick up the black bowl between the plate and the ramekin and place it on the plate,pick up the black bowl between the plate and the ramekin and place it on the plate table 19,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_19
10,Background Textures,1,4,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,,,,,,,,,,2,,,,pick up the black bowl between the plate and the ramekin and place it on the plate,pick up the black bowl between the plate and the ramekin and place it on the plate table 2,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_2
11,Background Textures,1,4,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,,,,,,,,,,21,,,,pick up the black bowl between the plate and the ramekin and place it on the plate,pick up the black bowl between the plate and the ramekin and place it on the plate table 21,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_21
12,Background Textures,2,3,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,,,,,,,,,,22,,,,pick up the black bowl between the plate and the ramekin and place it on the plate,pick up the black bowl between the plate and the ramekin and place it on the plate table 22,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_22
13,Background Textures,1,4,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,,,,,,,,,,24,,,,pick up the black bowl between the plate and the ramekin and place it on the plate,pick up the black bowl between the plate and the ramekin and place it on the plate table 24,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_24
14,Background Textures,2,3,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,,,,,,,,,,27,,,,pick up the black bowl between the plate and the ramekin and place it on the plate,pick up the black bowl between the plate and the ramekin and place it on the plate table 27,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_27
15,Background Textures,2,3,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,,,,,,,,,,28,,,,pick up the black bowl between the plate and the ramekin and place it on the plate,pick up the black bowl between the plate and the ramekin and place it on the plate table 28,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_table_28
