task_id,category,difficulty_level,solved_by_n_of_4_reference_models,base_scene,azimuth,elevation,distance_pct,cam_rot,cam_vert,initstate,noise_type,noise_severity,light,table,language,added_objects,layout_level,instruction_clean,task_language_raw,variant_name
0,Background Textures,4,1,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,1,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket table 1,pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_1
1,Background Textures,3,2,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,10,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket table 10,pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_10
2,Background Textures,3,2,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,12,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket table 12,pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_12
3,Background Textures,2,3,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,13,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket table 13,pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_13
4,Background Textures,3,2,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,14,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket table 14,pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_14
5,Background Textures,1,4,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,15,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket table 15,pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_15
6,Background Textures,2,3,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,16,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket table 16,pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_16
7,Background Textures,3,2,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,17,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket table 17,pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_17
8,Background Textures,2,3,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,18,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket table 18,pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_18
9,Background Textures,3,2,pick_up_the_alphabet_soup_and_place_it_in_the_basket,,,,,,,,,,19,,,,pick up the alphabet soup and place it in the basket,pick up the alphabet soup and place it in the basket table 19,pick_up_the_alphabet_soup_and_place_it_in_the_basket_table_19
